Enzyme ID	Enzyme Name	Gene Count	
EC:1.-	Oxidoreductases.	6	
EC:1.1.1.-	Oxidoreductases. Acting on the CH-OH group of donors. With NAD(+) or NADP(+) as acceptor.	2	
EC:1.1.1.1	Alcohol dehydrogenase.	3	
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.	9	
EC:1.1.1.103	L-threonine 3-dehydrogenase.	1	
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase.	1	
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase.	1	
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase.	2	
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase.	1	
EC:1.1.1.14	L-iditol 2-dehydrogenase.	2	
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase.	1	
EC:1.1.1.169	2-dehydropantoate 2-reductase.	1	
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase.	1	
EC:1.1.1.205	IMP dehydrogenase.	1	
EC:1.1.1.21	Aldehyde reductase.	1	
EC:1.1.1.219	Dihydrokaempferol 4-reductase.	1	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	1	
EC:1.1.1.23	Histidinol dehydrogenase.	1	
EC:1.1.1.25	Shikimate dehydrogenase.	1	
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase.	1	
EC:1.1.1.3	Homoserine dehydrogenase.	1	
EC:1.1.1.304	Diacetyl reductase ((S)-acetoin forming).	2	
EC:1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating).	1	
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase.	1	
EC:1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+)).	2	
EC:1.1.1.37	Malate dehydrogenase.	2	
EC:1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).	1	
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+)).	1	
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating).	1	
EC:1.1.1.47	Glucose 1-dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+)).	2	
EC:1.1.1.76	(S,S)-butanediol dehydrogenase.	2	
EC:1.1.1.81	Hydroxypyruvate reductase.	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	1	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	1	
EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	2	
