Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00004	ATPase family associated with various cellular activities (AAA)	43	
pfam00005	ABC transporter	432	
pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain	31	
pfam00009	Elongation factor Tu GTP binding domain	46	
pfam00011	Hsp20/alpha crystallin family	8	
pfam00012	Hsp70 protein	22	
pfam00013	KH domain	6	
pfam00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	21	
pfam00023	Ankyrin repeat	4	
pfam00027	Cyclic nucleotide-binding domain	35	
pfam00028	Cadherin domain	1	
pfam00030	Beta/Gamma crystallin	2	
pfam00032	Cytochrome b(C-terminal)/b6/petD	4	
pfam00033	Cytochrome b/b6/petB	7	
pfam00034	Cytochrome c	28	
pfam00035	Double-stranded RNA binding motif	3	
pfam00037	4Fe-4S binding domain	6	
pfam00041	Fibronectin type III domain	3	
pfam00043	Glutathione S-transferase, C-terminal domain	29	
pfam00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	7	
pfam00056	lactate/malate dehydrogenase, NAD binding domain	5	
pfam00063	Myosin head (motor domain)	2	
pfam00067	Cytochrome P450	24	
pfam00069	Protein kinase domain	21	
pfam00070	Pyridine nucleotide-disulphide oxidoreductase	29	
pfam00071	Ras family	1	
pfam00072	Response regulator receiver domain	255	
pfam00075	RNase H	12	
pfam00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	4	
pfam00078	Reverse transcriptase (RNA-dependent DNA polymerase)	11	
pfam00080	Copper/zinc superoxide dismutase (SODC)	3	
pfam00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	2	
pfam00082	Subtilase family	19	
pfam00083	Sugar (and other) transporter	5	
pfam00085	Thioredoxin	21	
pfam00089	Trypsin	8	
pfam00091	Tubulin/FtsZ family, GTPase domain	4	
pfam00092	von Willebrand factor type A domain	3	
pfam00106	short chain dehydrogenase	197	
pfam00107	Zinc-binding dehydrogenase	46	
pfam00108	Thiolase, N-terminal domain	48	
pfam00109	Beta-ketoacyl synthase, N-terminal domain	26	
pfam00111	2Fe-2S iron-sulfur cluster binding domain	23	
pfam00112	Papain family cysteine protease	1	
pfam00113	Enolase, C-terminal TIM barrel domain	7	
pfam00115	Cytochrome C and Quinol oxidase polypeptide I	19	
pfam00116	Cytochrome C oxidase subunit II, periplasmic domain	9	
pfam00117	Glutamine amidotransferase class-I	41	
pfam00118	TCP-1/cpn60 chaperonin family	13	
pfam00119	ATP synthase A chain	9	
pfam00120	Glutamine synthetase, catalytic domain	36	
pfam00121	Triosephosphate isomerase	6	
pfam00122	E1-E2 ATPase	36	
pfam00126	Bacterial regulatory helix-turn-helix protein, lysR family	74	
pfam00127	Copper binding proteins, plastocyanin/azurin family	5	
pfam00128	Alpha amylase, catalytic domain	13	
pfam00132	Bacterial transferase hexapeptide (six repeats)	44	
pfam00133	tRNA synthetases class I (I, L, M and V)	38	
pfam00135	Carboxylesterase family	3	
pfam00137	ATP synthase subunit C	2	
pfam00139	Legume lectin domain	1	
pfam00140	Sigma-70 factor, region 1.2	10	
pfam00141	Peroxidase	15	
pfam00144	Beta-lactamase	61	
pfam00145	C-5 cytosine-specific DNA methylase	13	
pfam00146	NADH dehydrogenase	8	
pfam00149	Calcineurin-like phosphoesterase	32	
pfam00150	Cellulase (glycosyl hydrolase family 5)	2	
pfam00152	tRNA synthetases class II (D, K and N)	22	
pfam00154	recA bacterial DNA recombination protein	18	
pfam00155	Aminotransferase class I and II	75	
pfam00156	Phosphoribosyl transferase domain	37	
pfam00158	Sigma-54 interaction domain	46	
pfam00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	20	
pfam00162	Phosphoglycerate kinase	13	
pfam00163	Ribosomal protein S4/S9 N-terminal domain	3	
pfam00164	Ribosomal protein S12/S23	2	
pfam00165	Bacterial regulatory helix-turn-helix proteins, AraC family	2	
pfam00166	Chaperonin 10 Kd subunit	6	
pfam00171	Aldehyde dehydrogenase family	147	
pfam00174	Oxidoreductase molybdopterin binding domain	9	
pfam00175	Oxidoreductase NAD-binding domain	13	
pfam00176	SNF2 family N-terminal domain	6	
pfam00177	Ribosomal protein S7p/S5e	3	
pfam00180	Isocitrate/isopropylmalate dehydrogenase	20	
pfam00181	Ribosomal Proteins L2, RNA binding domain	5	
pfam00183	Hsp90 protein	3	
pfam00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	20	
pfam00186	Dihydrofolate reductase	7	
pfam00188	Cysteine-rich secretory protein family	2	
pfam00189	Ribosomal protein S3, C-terminal domain	6	
pfam00191	Annexin	1	
pfam00194	Eukaryotic-type carbonic anhydrase	3	
pfam00195	Chalcone and stilbene synthases, N-terminal domain	1	
pfam00196	Bacterial regulatory proteins, luxR family	44	
pfam00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	25	
pfam00199	Catalase	1	
pfam00202	Aminotransferase class-III	63	
pfam00203	Ribosomal protein S19	2	
pfam00204	DNA gyrase B	12	
pfam00205	Thiamine pyrophosphate enzyme, central domain	12	
pfam00206	Lyase	25	
pfam00207	Alpha-2-macroglobulin family	6	
pfam00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	17	
pfam00209	Sodium:neurotransmitter symporter family	3	
pfam00210	Ferritin-like domain	9	
pfam00211	Adenylate and Guanylate cyclase catalytic domain	17	
pfam00213	ATP synthase delta (OSCP) subunit	5	
pfam00215	Orotidine 5'-phosphate decarboxylase / HUMPS family	7	
pfam00216	Bacterial DNA-binding protein	19	
pfam00217	ATP:guanido phosphotransferase, C-terminal catalytic domain	1	
pfam00218	Indole-3-glycerol phosphate synthase	13	
pfam00221	Aromatic amino acid lyase	7	
pfam00224	Pyruvate kinase, barrel domain	7	
pfam00226	DnaJ domain	23	
pfam00227	Proteasome subunit	9	
pfam00230	Major intrinsic protein	4	
pfam00231	ATP synthase	13	
pfam00232	Glycosyl hydrolase family 1	4	
pfam00237	Ribosomal protein L22p/L17e	3	
pfam00238	Ribosomal protein L14p/L23e	5	
pfam00239	Resolvase, N terminal domain	13	
pfam00245	Alkaline phosphatase	3	
pfam00246	Zinc carboxypeptidase	14	
pfam00248	Aldo/keto reductase family	44	
pfam00252	Ribosomal protein L16p/L10e	4	
pfam00253	Ribosomal protein S14p/S29e	5	
pfam00254	FKBP-type peptidyl-prolyl cis-trans isomerase	15	
pfam00255	Glutathione peroxidase	4	
pfam00258	Flavodoxin	2	
pfam00263	Bacterial type II and III secretion system protein	19	
pfam00264	Common central domain of tyrosinase	1	
pfam00265	Thymidine kinase	4	
pfam00266	Aminotransferase class-V	51	
pfam00268	Ribonucleotide reductase, small chain	3	
pfam00270	DEAD/DEAH box helicase	57	
pfam00271	Helicase conserved C-terminal domain	82	
pfam00274	Fructose-bisphosphate aldolase class-I	3	
pfam00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	23	
pfam00276	Ribosomal protein L23	4	
pfam00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	5	
pfam00281	Ribosomal protein L5	3	
pfam00282	Pyridoxal-dependent decarboxylase conserved domain	10	
pfam00285	Citrate synthase, C-terminal domain	12	
pfam00288	GHMP kinases N terminal domain	9	
pfam00289	Biotin carboxylase, N-terminal domain	20	
pfam00290	Tryptophan synthase alpha chain	11	
pfam00291	Pyridoxal-phosphate dependent enzyme	49	
pfam00293	NUDIX domain	50	
pfam00294	pfkB family carbohydrate kinase	41	
pfam00296	Luciferase-like monooxygenase	31	
pfam00297	Ribosomal protein L3	5	
pfam00298	Ribosomal protein L11, RNA binding domain	4	
pfam00300	Histidine phosphatase superfamily (branch 1)	15	
pfam00301	Rubredoxin	4	
pfam00303	Thymidylate synthase	4	
pfam00306	ATP synthase alpha/beta chain, C terminal domain	17	
pfam00308	Bacterial dnaA protein	4	
pfam00309	Sigma-54 factor, Activator interacting domain (AID)	2	
pfam00310	Glutamine amidotransferases class-II	10	
pfam00311	Phosphoenolpyruvate carboxylase	6	
pfam00312	Ribosomal protein S15	4	
pfam00313	'Cold-shock' DNA-binding domain	14	
pfam00316	Fructose-1-6-bisphosphatase, N-terminal domain	4	
pfam00317	Ribonucleotide reductase, all-alpha domain	3	
pfam00318	Ribosomal protein S2	7	
pfam00324	Amino acid permease	5	
pfam00325	Bacterial regulatory proteins, crp family	2	
pfam00326	Prolyl oligopeptidase family	22	
pfam00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	10	
pfam00330	Aconitase family (aconitate hydratase)	28	
pfam00333	Ribosomal protein S5, N-terminal domain	3	
pfam00334	Nucleoside diphosphate kinase	6	
pfam00338	Ribosomal protein S10p/S20e	4	
pfam00342	Phosphoglucose isomerase	11	
pfam00343	Carbohydrate phosphorylase	3	
pfam00344	SecY translocase	10	
pfam00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain	1	
pfam00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	8	
pfam00347	Ribosomal protein L6	8	
pfam00348	Polyprenyl synthetase	10	
pfam00351	Biopterin-dependent aromatic amino acid hydroxylase	3	
pfam00353	Haemolysin-type calcium-binding repeat (2 copies)	32	
pfam00355	Rieske [2Fe-2S] domain	21	
pfam00356	Bacterial regulatory proteins, lacI family	7	
pfam00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	5	
pfam00361	Proton-conducting membrane transporter	28	
pfam00364	Biotin-requiring enzyme	42	
pfam00365	Phosphofructokinase	8	
pfam00366	Ribosomal protein S17	5	
pfam00368	Hydroxymethylglutaryl-coenzyme A reductase	1	
pfam00370	FGGY family of carbohydrate kinases, N-terminal domain	13	
pfam00374	Nickel-dependent hydrogenase	3	
pfam00375	Sodium:dicarboxylate symporter family	15	
pfam00376	MerR family regulatory protein	7	
pfam00378	Enoyl-CoA hydratase/isomerase	121	
pfam00380	Ribosomal protein S9/S16	7	
pfam00381	PTS HPr component phosphorylation site	3	
pfam00383	Cytidine and deoxycytidylate deaminase zinc-binding region	16	
pfam00384	Molybdopterin oxidoreductase	30	
pfam00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	11	
pfam00390	Malic enzyme, N-terminal domain	13	
pfam00391	PEP-utilising enzyme, mobile domain	10	
pfam00392	Bacterial regulatory proteins, gntR family	35	
pfam00393	6-phosphogluconate dehydrogenase, C-terminal domain	1	
pfam00394	Multicopper oxidase	6	
pfam00398	Ribosomal RNA adenine dimethylase	7	
pfam00400	WD domain, G-beta repeat	11	
pfam00401	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	1	
pfam00403	Heavy-metal-associated domain	16	
pfam00406	Adenylate kinase	10	
pfam00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	10	
pfam00410	Ribosomal protein S8	5	
pfam00411	Ribosomal protein S11	5	
pfam00412	LIM domain	1	
pfam00413	Matrixin	2	
pfam00416	Ribosomal protein S13/S18	3	
pfam00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	5	
pfam00425	chorismate binding enzyme	22	
pfam00430	ATP synthase B/B' CF(0)	8	
pfam00431	CUB domain	2	
pfam00436	Single-strand binding protein family	13	
pfam00437	Type II/IV secretion system protein	32	
pfam00438	S-adenosylmethionine synthetase, N-terminal domain	6	
pfam00440	Bacterial regulatory proteins, tetR family	75	
pfam00441	Acyl-CoA dehydrogenase, C-terminal domain	124	
pfam00444	Ribosomal protein L36	1	
pfam00445	Ribonuclease T2 family	1	
pfam00448	SRP54-type protein, GTPase domain	16	
pfam00450	Serine carboxypeptidase	2	
pfam00453	Ribosomal protein L20	9	
pfam00455	DeoR C terminal sensor domain	4	
pfam00456	Transketolase, thiamine diphosphate binding domain	15	
pfam00459	Inositol monophosphatase family	17	
pfam00460	Flagella basal body rod protein	10	
pfam00462	Glutaredoxin	13	
pfam00463	Isocitrate lyase family	7	
pfam00464	Serine hydroxymethyltransferase	17	
pfam00465	Iron-containing alcohol dehydrogenase	20	
pfam00466	Ribosomal protein L10	2	
pfam00467	KOW motif	7	
pfam00468	Ribosomal protein L34	2	
pfam00471	Ribosomal protein L33	6	
pfam00472	RF-1 domain	21	
pfam00474	Sodium:solute symporter family	36	
pfam00475	Imidazoleglycerol-phosphate dehydratase	6	
pfam00476	DNA polymerase family A	12	
pfam00478	IMP dehydrogenase / GMP reductase domain	11	
pfam00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	3	
