Pfam ID,Pfam Name,EC Class
pfam00001,7tm_1 - 7 transmembrane receptor (rhodopsin family),
pfam00002,7tm_2 - 7 transmembrane receptor (Secretin family),
pfam00003,7tm_3 - 7 transmembrane sweet-taste receptor of 3 GCPR,
pfam00004,AAA - ATPase family associated with various cellular activities (AAA),
pfam00005,ABC_tran - ABC transporter,
pfam00006,"ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain",
pfam00007,Cys_knot - Cystine-knot domain,
pfam00008,EGF - EGF-like domain,
pfam00009,GTP_EFTU - Elongation factor Tu GTP binding domain,
pfam00010,HLH - Helix-loop-helix DNA-binding domain,
pfam00011,HSP20 - Hsp20/alpha crystallin family,
pfam00012,HSP70 - Hsp70 protein,
pfam00013,KH_1 - KH domain,
pfam00014,Kunitz_BPTI - Kunitz/Bovine pancreatic trypsin inhibitor domain,
pfam00015,MCPsignal - Methyl-accepting chemotaxis protein (MCP) signalling domain,
pfam00016,"RuBisCO_large - Ribulose bisphosphate carboxylase large chain, catalytic domain",
pfam00017,SH2 - SH2 domain,
pfam00018,SH3_1 - SH3 domain,
pfam00019,TGF_beta - Transforming growth factor beta like domain,
pfam00020,TNFR_c6 - TNFR/NGFR cysteine-rich region,
pfam00021,UPAR_LY6 - u-PAR/Ly-6 domain,
pfam00022,Actin - Actin,
pfam00023,Ank - Ankyrin repeat,
pfam00024,PAN_1 - PAN domain,
pfam00025,Arf - ADP-ribosylation factor family,
pfam00026,Asp - Eukaryotic aspartyl protease,
pfam00027,cNMP_binding - Cyclic nucleotide-binding domain,
pfam00028,Cadherin - Cadherin domain,
pfam00029,Connexin - Connexin,
pfam00030,Crystall - Beta/Gamma crystallin,
pfam00031,Cystatin - Cystatin domain,
pfam00032,Cytochrom_B_C - Cytochrome b(C-terminal)/b6/petD,
pfam00033,Cytochrome_B - Cytochrome b/b6/petB,
pfam00034,Cytochrom_C - Cytochrome c,
pfam00035,dsrm - Double-stranded RNA binding motif,
pfam00036,EF-hand_1 - EF hand,
pfam00037,Fer4 - 4Fe-4S binding domain,
pfam00038,Filament - Intermediate filament protein,
pfam00039,fn1 - Fibronectin type I domain,
pfam00040,fn2 - Fibronectin type II domain,
pfam00041,fn3 - Fibronectin type III domain,
pfam00042,Globin - Globin,
pfam00043,"GST_C - Glutathione S-transferase, C-terminal domain",
pfam00044,"Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain",
pfam00045,Hemopexin - Hemopexin,
pfam00046,Homeobox - Homeobox domain,
pfam00047,ig - Immunoglobulin domain,
pfam00048,"IL8 - Small cytokines (intecrine/chemokine), interleukin-8 like",
pfam00049,Insulin - Insulin/IGF/Relaxin family,
pfam00050,Kazal_1 - Kazal-type serine protease inhibitor domain,
pfam00051,Kringle - Kringle domain,
pfam00052,Laminin_B - Laminin B (Domain IV),
