Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	11	
pfam00005	ABC_tran - ABC transporter	80	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	4	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	4	
pfam00011	HSP20 - Hsp20/alpha crystallin family	5	
pfam00012	HSP70 - Hsp70 protein	1	
pfam00013	KH_1 - KH domain	2	
pfam00015	MCPsignal - Methyl-accepting chemotaxis protein (MCP) signalling domain	1	
pfam00016	RuBisCO_large - Ribulose bisphosphate carboxylase large chain, catalytic domain	1	
pfam00035	dsrm - Double-stranded RNA binding motif	1	
pfam00037	Fer4 - 4Fe-4S binding domain	20	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	1	
pfam00067	p450 - Cytochrome P450	1	
pfam00069	Pkinase - Protein kinase domain	1	
pfam00072	Response_reg - Response regulator receiver domain	15	
pfam00078	RVT_1 - Reverse transcriptase (RNA-dependent DNA polymerase)	1	
pfam00080	Sod_Cu - Copper/zinc superoxide dismutase (SODC)	1	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	1	
pfam00082	Peptidase_S8 - Subtilase family	3	
pfam00085	Thioredoxin - Thioredoxin	8	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	2	
pfam00092	VWA - von Willebrand factor type A domain	1	
pfam00106	adh_short - short chain dehydrogenase	2	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	1	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	1	
pfam00112	Peptidase_C1 - Papain family cysteine protease	2	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	8	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	4	
pfam00119	ATP-synt_A - ATP synthase A chain	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	2	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	8	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	1	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	14	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	3	
pfam00136	DNA_pol_B - DNA polymerase family B	1	
pfam00137	ATP-synt_C - ATP synthase subunit C	2	
pfam00142	Fer4_NifH - 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	6	
pfam00146	NADHdh - NADH dehydrogenase	2	
pfam00148	Oxidored_nitro - Nitrogenase component 1 type Oxidoreductase	13	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	11	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	2	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	7	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	9	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	1	
pfam00162	PGK - Phosphoglycerate kinase	2	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00166	Cpn10 - Chaperonin 10 Kd subunit	1	
pfam00171	Aldedh - Aldehyde dehydrogenase family	4	
pfam00173	Cyt-b5 - Cytochrome b5-like Heme/Steroid binding domain	2	
pfam00175	NAD_binding_1 - Oxidoreductase NAD-binding domain	2	
pfam00176	SNF2_N - SNF2 family N-terminal domain	1	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	3	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00199	Catalase - Catalase	2	
pfam00202	Aminotran_3 - Aminotransferase class-III	4	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00204	DNA_gyraseB - DNA gyrase B	1	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	4	
pfam00206	Lyase_1 - Lyase	2	
pfam00210	Ferritin - Ferritin-like domain	2	
pfam00215	OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family	4	
pfam00218	IGPS - Indole-3-glycerol phosphate synthase	1	
pfam00224	PK - Pyruvate kinase, barrel domain	1	
pfam00226	DnaJ - DnaJ domain	1	
pfam00227	Proteasome - Proteasome subunit	2	
pfam00231	ATP-synt - ATP synthase	1	
pfam00237	Ribosomal_L22 - Ribosomal protein L22p/L17e	1	
pfam00238	Ribosomal_L14 - Ribosomal protein L14p/L23e	1	
pfam00245	Alk_phosphatase - Alkaline phosphatase	1	
pfam00248	Aldo_ket_red - Aldo/keto reductase family	4	
pfam00252	Ribosomal_L16 - Ribosomal protein L16p/L10e	1	
pfam00253	Ribosomal_S14 - Ribosomal protein S14p/S29e	1	
pfam00254	FKBP_C - FKBP-type peptidyl-prolyl cis-trans isomerase	4	
pfam00258	Flavodoxin_1 - Flavodoxin	1	
pfam00266	Aminotran_5 - Aminotransferase class-V	7	
pfam00270	DEAD - DEAD/DEAH box helicase	8	
pfam00271	Helicase_C - Helicase conserved C-terminal domain	12	
pfam00275	EPSP_synthase - EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	2	
pfam00276	Ribosomal_L23 - Ribosomal protein L23	1	
pfam00278	Orn_DAP_Arg_deC - Pyridoxal-dependent decarboxylase, C-terminal sheet domain	2	
pfam00281	Ribosomal_L5 - Ribosomal protein L5	1	
pfam00282	Pyridoxal_deC - Pyridoxal-dependent decarboxylase conserved domain	2	
pfam00285	Citrate_synt - Citrate synthase, C-terminal domain	1	
pfam00288	GHMP_kinases_N - GHMP kinases N terminal domain	5	
pfam00289	Biotin_carb_N - Biotin carboxylase, N-terminal domain	1	
pfam00290	Trp_syntA - Tryptophan synthase alpha chain	1	
pfam00291	PALP - Pyridoxal-phosphate dependent enzyme	5	
pfam00293	NUDIX - NUDIX domain	5	
pfam00294	PfkB - pfkB family carbohydrate kinase	2	
pfam00296	Bac_luciferase - Luciferase-like monooxygenase	4	
pfam00297	Ribosomal_L3 - Ribosomal protein L3	1	
pfam00298	Ribosomal_L11 - Ribosomal protein L11, RNA binding domain	1	
pfam00300	His_Phos_1 - Histidine phosphatase superfamily (branch 1)	1	
pfam00302	CAT - Chloramphenicol acetyltransferase	3	
pfam00303	Thymidylat_synt - Thymidylate synthase	1	
pfam00306	ATP-synt_ab_C - ATP synthase alpha/beta chain, C terminal domain	1	
pfam00312	Ribosomal_S15 - Ribosomal protein S15	1	
pfam00317	Ribonuc_red_lgN - Ribonucleotide reductase, all-alpha domain	1	
pfam00318	Ribosomal_S2 - Ribosomal protein S2	1	
